City,Y,X,CENSUS2010POP,POPESTIMATE2017,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,LANDAREA,TRIPS
"Greensboro-High Point, NC",36.0726354,-79.7919754,723801,761184,621,2821,3123,3138,3819,3460,2876,3134,1993.77204,
"North Port-Sarasota-Bradenton, FL",27.044224,-82.2359254,702281,804690,1649,8586,12767,13947,17782,22464,23661,19678,#N/A,
"Little Rock-North Little Rock-Conway, AR",34.7464809,-92.2895948,699757,738344,1523,3997,3054,2452,1518,-395,496,1902,4085.19045,
"Charleston-North Charleston, SC",32.7764749,-79.9310512,664607,775831,1730,9426,11185,10240,10998,13894,13292,10290,#N/A,
"Akron, OH",41.0814447,-81.5190053,703200,703505,-498,-741,-1537,539,475,-835,-1187,770,900.1291693,7043361.2
"Stockton-Lodi, CA",37.9577016,-121.2907796,685306,745424,594,2085,849,-2309,5248,6177,5923,6548,#N/A,
"Colorado Springs, CO",38.8338816,-104.8213634,645613,723878,3070,3997,3033,3834,2859,5305,9848,8005,2683.856785,3007227.6
"Syracuse, NY",43.0481221,-76.1474244,662577,654841,-43,-1875,-3014,-70,-2482,-2957,-4075,-3201,2384.881502,10357740.9
"Cape Coral-Fort Myers, FL",26.5628537,-81.9495331,618754,739224,1649,10302,12945,15462,17415,21861,22498,17174,784.5129974,
"Winston-Salem, NC",36.1039642,-80.254435,640595,667733,251,1704,1021,2049,2247,2482,3761,5040,1455.939225,
"Boise City, ID",43.6187102,-116.2146068,616561,709845,64,4799,5647,7542,9205,7508,12414,14880,#N/A,
"Wichita, KS",37.688889,-97.336111,630919,645628,-184,-2849,-947,-1622,-1117,-519,-1049,-2048,4149.070513,15012935
"Madison, WI",43.0730517,-89.4012302,605435,654230,319,3411,3297,3398,3229,3268,5014,3655,2725.348556,11771279.1
"Springfield, MA",42.1014831,-72.589811,621570,631652,1399,1498,-250,615,1259,-293,-390,540,1843.715072,
"Lakeland-Winter Haven, FL",28.0394654,-81.9498042,602095,686483,636,5555,4373,6280,10697,13454,16608,18397,1797.836831,
"Ogden-Clearfield, UT",41.223,-111.9738304,597159,665358,513,-1492,-645,2024,2599,2931,5281,5028,1484.058432,
"Toledo, OH",41.6639383,-83.555212,610001,603668,-565,-3090,-3241,-2008,-2921,-2687,-1662,-2301,1618.419079,3396116.1
"Deltona-Daytona Beach-Ormond Beach, FL",28.9005446,-81.2636738,590289,649202,660,3283,5036,7567,10720,15063,17173,14650,1101.031623,
"Des Moines-West Des Moines, IA",41.6005448,-93.6091064,569633,645911,1158,4814,4275,6048,6964,6169,7587,6619,2883.695071,
"Augusta-Richmond County, GA-SC",33.4734978,-82.0105148,564873,600151,1039,1761,2637,1472,1323,4266,3100,3256,3270.284394,
"Jackson, MS",32.2987573,-90.1848103,567122,578715,345,2106,-443,-1667,-1225,-2067,-1224,-2757,3726.139693,
"Provo-Orem, UT",40.2338438,-111.6585337,526810,617675,510,758,-600,1807,-235,2663,7934,5902,5395.731868,
"Scranton--Wilkes-Barre--Hazleton, PA",41.408969,-75.6624122,563631,555426,321,1303,1285,-456,-242,-969,-1109,1610,#N/A,
"Harrisburg-Carlisle, PA",40.2731911,-76.8867008,549475,571903,251,555,1638,1894,1498,2428,1427,2641,1621.950743,
"Youngstown-Warren-Boardman, OH-PA",41.0997803,-80.6495194,565773,541926,-617,-1292,-2337,-1331,-1613,-2573,-2964,-1330,1702.494495,
"Palm Bay-Melbourne-Titusville, FL",28.0344621,-80.5886646,543376,589162,834,1695,3907,5017,6771,12223,13133,13126,1015.664131,2908832
"Chattanooga, TN-GA",35.0456297,-85.3096801,528143,556548,665,3166,3382,2970,1203,2485,4012,3881,2088.968225,3067053.6
"Spokane-Spokane Valley, WA",47.6587802,-117.4260466,527753,564236,197,-442,415,1096,2956,4658,7776,8026,#N/A,11819698.1
"Durham-Chapel Hill, NC",35.9940329,-78.898619,504357,567428,1032,4007,5945,5292,5821,5761,5846,5982,1758.440045,15616665.4
"Lancaster, PA",40.0378755,-76.3055144,519445,542903,228,1063,597,1238,1129,598,417,1589,943.8102041,2206229.4
"Modesto, CA",37.6390972,-120.9968782,514453,547899,-205,-1330,-544,-339,1471,2034,2891,2826,1494.826574,3726164
"Portland-South Portland, ME",43.661471,-70.2553259,514098,532083,-522,1823,1471,1891,2773,2569,2867,3836,#N/A,3087285
"Santa Rosa, CA",38.440429,-122.7140548,483878,504217,509,1620,1780,3129,3572,1584,1041,-183,#N/A,3865840.8
"Fayetteville-Springdale-Rogers, AR-MO",36.0625795,-94.1574263,463204,537463,1012,6044,5206,5091,5692,7599,8120,8351,3163.059037,5322592
"Lexington-Fayette, KY",38.0405837,-84.5037164,472099,512650,545,2500,3100,2441,2185,4303,3653,3345,1468.497673,
"Lafayette, LA",30.2240897,-92.0198427,466750,491558,115,562,964,2686,2309,2030,-1233,-2626,1006.367167,11745247.8
"Lansing-East Lansing, MI",42.732535,-84.5555347,464036,477656,-399,45,-1124,-416,181,-9,1711,1818,1697.70306,
"Pensacola-Ferry Pass-Brent, FL",30.421309,-87.2169149,448991,487784,1430,2759,5064,4276,2402,4043,4751,5045,1668.065764,
"Visalia-Porterville, CA",36.3302284,-119.2920585,442179,464493,-323,-989,-1775,-2038,-1999,-2456,-2165,-645,4824.214695,
"Springfield, MO",37.2089572,-93.2922989,436712,462369,211,1141,2292,2554,1613,2470,1005,3036,3006.804065,
"Shreveport-Bossier City, LA",32.5251516,-93.7501789,439811,440933,761,1757,1047,-3248,-3750,-2377,-3628,-2972,2594.175011,6097939.1
"Corpus Christi, TX",27.8005828,-97.396381,428185,454008,-781,781,3419,3917,2264,2086,-594,-2383,1784.006776,
"York-Hanover, PA",39.9625984,-76.727745,434972,446078,181,55,-341,552,466,629,1188,1398,904.1814962,
"Port St. Lucie, FL",27.2730492,-80.3582261,424107,473429,1130,3291,4181,5216,7400,10485,11707,9822,1115.389825,8503247.2
"Reno, NV",39.5296329,-119.8138027,425417,464593,95,624,1862,2120,3916,4634,6473,6423,#N/A,
"Asheville, NC",35.5950581,-82.5514869,424858,456145,550,3016,2913,5148,4245,5275,6544,5659,2033.001466,
"Huntsville, AL",34.7303688,-86.5861037,417593,455448,1204,3875,3090,3956,3186,2752,3633,4988,1361.529418,7749867.8
"Santa Maria-Santa Barbara, CA",34.9530337,-120.4357191,423895,448150,-370,-1176,2039,2464,1940,519,-119,-615,#N/A,4039808.7
"Salinas, CA",36.6777372,-121.6555013,415057,437907,293,193,572,-1830,-2090,-1671,-159,-2176,3280.595407,
"Vallejo-Fairfield, CA",38.1040864,-122.2566367,413344,445458,229,322,1544,1993,3412,2732,3963,3490,821.7648881,
"Fort Wayne, IN",41.079273,-85.1393513,416257,434617,-170,435,-606,239,-54,522,30,993,1360.96463,
"Killeen-Temple, TX",31.1171194,-97.7277959,405300,443773,1526,-1361,6404,-4782,-2407,1369,-482,2290,#N/A,
"Brownsville-Harlingen, TX",25.9017472,-97.4974838,406220,423725,187,-119,-2568,-3226,-3046,-3894,-2211,-2356,890.9223309,6207862.5
"Flint, MI",43.0125274,-83.6874562,425790,407385,-1104,-4183,-4694,-3286,-3440,-2539,-1964,-1448,636.9773458,
"Mobile, AL",30.6953657,-88.0398912,412992,413955,-189,-1555,-1084,-784,-930,-1236,-854,-1885,1229.435458,
"Reading, PA",40.3356483,-75.9268747,411442,417854,120,-320,-548,-564,-547,-261,-365,1216,856.506495,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",33.6890603,-78.8866943,376722,464165,1551,6853,7418,10250,11998,15200,16971,16953,#N/A,
"Beaumont-Port Arthur, TX",30.080174,-94.1265562,403190,412437,18,378,-2943,226,-989,1434,663,113,2100.531119,
"Manchester-Nashua, NH",42.9956397,-71.4547891,400721,409697,-162,-809,-424,-665,650,165,660,995,876.1386257,
"Canton-Massillon, OH",40.7989473,-81.378447,404422,399927,-309,-889,105,74,145,-1154,-1356,-1295,969.8794002,3939062.4
"Salem, OR",44.9428975,-123.0350963,390738,424982,135,-72,298,415,2208,4514,6892,5756,1923.11266,
"Anchorage, AK",61.2180556,-149.9002778,380821,400888,1169,817,284,817,-2666,-3309,-1255,-4321,26312.58105,
"Salisbury, MD-DE",38.3606736,-75.5993692,373802,405853,801,3126,2731,3309,4233,5211,5698,6177,#N/A,
"Davenport-Moline-Rock Island, IA-IL",41.5236437,-90.5776367,379690,382263,-345,-319,654,378,-984,-1473,-1901,-1549,2269.912669,
"Gulfport-Biloxi-Pascagoula, MS",30.3674198,-89.0928155,370702,394232,307,2682,1516,2180,2405,1496,1652,2302,#N/A,
"Peoria, IL",40.6936488,-89.5889864,379186,372427,-555,-379,-542,228,-3464,-3028,-2596,-4079,2470.851053,
"Fayetteville, NC",35.0526641,-78.8783585,366383,386662,6464,1285,-3803,-23,-4309,-3545,-1448,-3362,1043.058817,4408915
"Montgomery, AL",32.3668052,-86.2999689,374536,373903,273,-1245,-2392,-2112,-2030,-1322,-834,-655,2713.078322,
"Tallahassee, FL",30.4382559,-84.2807329,367413,382627,99,260,2452,-3392,893,1047,-212,2336,2387.697454,4372244.8
"Trenton, NJ",40.2170534,-74.7429384,366513,374733,82,-1228,877,512,-741,-1083,-673,-43,#N/A,
"Savannah, GA",32.0835407,-81.0998342,347611,387543,550,4941,3705,1061,4238,4358,2982,1655,1340.102722,
"Huntington-Ashland, WV-KY-OH",38.4192496,-82.445154,364908,356474,137,20,-245,-789,-1031,-1411,-1648,-1957,1744.630543,11581708.5
"Hickory-Lenoir-Morganton, NC",35.7344538,-81.3444573,365497,366534,-268,-1056,-1053,55,-598,670,1675,2273,1637.380643,14045718
"Eugene, OR",44.0520691,-123.0867536,351715,374748,-11,1236,1050,468,2300,3951,6554,6240,#N/A,
"Ann Arbor, MI",42.2808256,-83.7430378,344791,367627,26,1863,544,1902,2381,1742,1490,1564,705.9654508,
"Rockford, IL",42.2711311,-89.0939952,349431,338291,-666,-2810,-3139,-2075,-3175,-2512,-2030,-2382,794.0815062,
"Naples-Immokalee-Marco Island, FL",26.1420358,-81.7948103,321520,372880,1071,4626,4668,6675,8336,8789,8929,7060,#N/A,3131320.5
"Ocala, FL",29.1871986,-82.1400923,331298,354353,316,1962,2728,2676,4380,5662,6870,7606,1584.546214,
"Kalamazoo-Portage, MI",42.2917069,-85.5872286,326589,338338,-84,294,551,577,296,-374,578,1015,1169.132759,
"Spartanburg, SC",34.9495672,-81.9320482,313268,334391,106,345,1015,1527,2045,2916,3633,5049,807.925985,
"South Bend-Mishawaka, IN-MI",41.6763545,-86.2519898,319224,321815,-474,-1156,-1660,-620,-37,-377,275,29,947.9119085,
"Columbus, GA-AL",32.4609764,-84.9877094,294865,303811,330,4049,5256,3602,-4852,-4353,-5230,-4148,1936.133713,
"Fort Collins, CO",40.5852602,-105.084423,299630,343976,443,3110,3888,3893,6161,7842,4430,4138,#N/A,
"Evansville, IN-KY",37.9715592,-87.5710898,311552,315669,102,154,9,483,131,-38,-161,-451,2283.95935,
"Lincoln, NE",40.809722,-96.675278,302157,331519,200,1688,1695,1856,3182,1704,2225,1909,1408.976019,
"Green Bay, WI",44.519159,-88.019826,306241,320050,36,347,393,-200,377,348,309,1162,1870.214159,
"Roanoke, VA",37.2709704,-79.9414266,308707,314128,-3,720,1350,1484,903,543,-310,1050,1868.678381,
"Boulder, CO",40.0149856,-105.2705456,294567,322514,872,3068,3103,3410,1561,4343,2155,359,726.2892488,3942823.3
"Kingsport-Bristol-Bristol, TN-VA",36.548434,-82.5618186,309544,306659,76,294,452,154,390,144,736,1642,2009.856178,
"Lubbock, TX",33.5778631,-101.8551665,290805,316983,742,1338,919,1663,2917,2124,2036,1194,1795.79698,3656252.6
"Utica-Rome, NY",43.100903,-75.232664,299397,293572,-102,-653,-752,-529,-1241,-1770,-845,-108,2623.898351,1254495
"Erie, PA",42.1292241,-80.085059,280566,274541,-52,57,-154,-1058,-1620,-1451,-2167,-2066,799.154083,3217456.8
"Fort Smith, AR-OK",35.3859242,-94.3985475,280467,282086,9,18,-751,-1443,-984,-39,235,599,3996.347955,
"Duluth, MN-WI",46.7866719,-92.1004852,279771,278782,-97,125,-460,175,271,-398,-93,-56,8412.918402,
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",35.2827524,-120.6596156,269637,283405,71,979,2836,1256,2188,1652,1575,848,#N/A,
"Atlantic City-Hammonton, NJ",39.3642834,-74.4229266,274549,269918,-26,-514,-296,-359,-1806,-2174,-2354,-1021,555.7044508,127875.5
"Norwich-New London, CT",41.5242649,-72.0759105,274055,269033,-135,-1380,562,-1206,-1884,-1886,-1122,-314,664.8779651,1151056.5
"Clarksville, TN-KY",36.5297706,-87.3594528,260625,285042,254,-340,6423,-5292,1320,75,-2154,1139,2157.443606,800945.8
"Kennewick-Richland, WA",46.2112458,-119.1372338,253340,290296,1404,5243,1946,235,792,2112,2266,3970,#N/A,4122433.7
"Gainesville, FL",29.6516344,-82.3248262,264275,284687,-43,1174,399,4,2135,2898,3949,2227,1224.696827,10874587.2
"Greeley, CO",40.4233142,-104.7091322,252825,304633,717,2008,2847,3734,3398,6344,7302,7622,3987.238071,546048.4
"Santa Cruz-Watsonville, CA",36.9741171,-122.0307963,262382,275897,449,380,247,1358,1001,1511,-53,-174,445.1704097,5590424.5
"Wilmington, NC",34.2257255,-77.9447102,254884,288156,535,2810,2890,4341,3551,4567,4554,5598,1908.30244,1544744.4
"Merced, CA",37.3021632,-120.4829677,255793,272673,341,18,-926,-1282,13,-290,-907,1435,1934.972186,938415.4
"Laredo, TX",27.5305671,-99.4803241,250304,274794,16,-35,214,-260,-1028,-1458,-1352,-1508,3361.482374,3269439.2
"Cedar Rapids, IA",41.9778795,-91.6656232,257940,270293,43,1311,-183,-360,438,837,798,1215,2008.765704,
"Olympia-Tumwater, WA",47.0378741,-122.9006951,252264,280588,417,2179,1033,2309,2045,2179,4900,5731,#N/A,5345853
"Waco, TX",31.549333,-97.1466695,252772,268696,554,469,-282,525,98,877,796,2427,1037.101317,1032930
"Hagerstown-Martinsburg, MD-WV",39.6417629,-77.7199932,251599,265498,559,1248,796,767,1005,987,1843,1872,1007.994657,2415171.2
"Amarillo, TX",35.2219971,-101.8312969,251933,264925,399,1681,268,-506,157,-625,263,542,3649.242888,3937050
"Lynchburg, VA",37.4137536,-79.1422464,252634,261254,272,844,1001,972,826,1106,733,916,2120.321291,
"Bremerton-Silverdale, WA",47.5673202,-122.6329356,251133,266414,281,1640,-1053,-2778,140,4886,3027,2471,394.9412708,2354413.6
"Crestview-Fort Walton Beach-Destin, FL",30.7541808,-86.5727995,235865,271346,-261,1578,6835,3762,2519,3665,3406,4844,930.2470815,
"Binghamton, NY",42.0986867,-75.9179738,251725,242217,-290,-1166,-1368,-753,-981,-1807,-1884,-1221,1224.367796,
"Yakima, WA",46.6020711,-120.5058987,243231,250193,302,-715,-1932,-1798,-1950,-1201,-577,-1045,4295.395701,
"Sioux Falls, SD",43.5445959,-96.7311034,228261,259094,307,1186,2510,3110,2173,1719,1704,2586,2575.686845,
"College Station-Bryan, TX",30.627977,-96.3344068,228660,258044,363,178,957,1954,2946,5700,2166,1892,2100.154879,12645469
"Tuscaloosa, AL",33.2098407,-87.5691735,230162,242799,45,288,961,1316,1930,1415,351,662,2612.807428,
"Champaign-Urbana, IL",40.1164204,-88.2433829,231891,239124,126,31,-169,251,104,94,-116,-1004,1921.083542,
"Topeka, KS",39.0558235,-95.6890185,233870,233149,96,-507,-941,-1295,-827,-590,-865,-280,3232.627239,
"Macon-Bibb County, GA",32.8406946,-83.6324022,232293,228914,-227,-319,-857,-2102,-1487,-1234,-1143,-508,#N/A,2816132.1
"Appleton, WI",44.2619309,-88.4153847,225666,236126,-90,213,-151,65,542,458,97,686,955.7593031,303196.8
"Charleston, WV",38.3498195,-81.6326234,227078,214406,-69,-648,-14,-760,-1519,-1951,-2031,-2780,2527.740548,
"Charlottesville, VA",38.0293059,-78.4766781,218705,233793,155,1216,953,791,1484,2025,1813,2134,1644.043653,1509480
"Fargo, ND-MN",46.8771863,-96.7898034,208777,241356,213,1690,2344,4647,2600,3086,2515,1902,2810.303246,
"Chico, CA",39.7284944,-121.8374777,220000,229294,-130,-185,828,793,1535,1045,1641,2662,1636.464431,
"Longview, TX",32.5007037,-94.7404891,214369,217481,43,514,-247,-1212,-541,58,-508,-439,1780.276194,
"Tyler, TX",32.3512601,-95.3010624,209714,227727,394,1219,1044,697,1928,1829,1879,1330,921.4543318,
"Prescott, AZ",34.5400242,-112.4685025,211033,228168,161,694,1780,3201,4158,3938,4858,4792,8123.49902,2756702
"Barnstable Town, MA",41.7003208,-70.3002024,215888,213444,289,704,578,1140,1057,1038,968,1330,393.7232149,
"Burlington-South Burlington, VT",44.4758825,-73.212072,211261,218395,27,542,228,499,519,79,-73,303,1252.095704,1748777.4
"Las Cruces, NM",32.3199396,-106.7636538,209233,215579,510,816,-445,-2270,-1651,-1493,-634,390,3807.511293,
"Rochester, MN",44.0234,-92.46295,206877,218280,-136,-196,-220,681,-274,-167,945,846,1615.607298,
"Springfield, IL",39.7817213,-89.6501481,210170,208697,181,612,-112,-843,-503,-824,-1147,-1404,1182.739384,5455874
"Houma-Thibodaux, LA",29.5957696,-90.7195348,208178,210512,-229,-726,-781,224,519,-211,-1692,-2227,#N/A,
"Lafayette-West Lafayette, IN",40.4167022,-86.8752869,201789,219239,-69,1298,1738,1639,987,1083,1315,648,#N/A,5919710.4
"Medford, OR",42.3265152,-122.8755949,203206,217479,120,1058,1125,1360,1931,2671,2826,2687,2783.548097,
"Bellingham, WA",48.74908,-122.4781473,201140,221404,149,1082,674,641,1254,2741,3881,4371,2106.856719,
"Florence, SC",34.1954331,-79.7625625,205566,205831,-8,-168,-81,-198,195,-490,-627,-80,1361.117612,
"Lake Havasu City-Kingman, AZ",34.483901,-114.3224548,200186,207200,211,2708,1218,668,1029,2192,2196,3171,13311.08365,
"Lake Charles, LA",30.2265949,-93.2173758,199607,209357,227,-233,-257,286,367,1235,1245,966,2348.546177,
"Yuma, AZ",32.6926512,-114.6276916,195751,207534,847,3433,-2343,-2065,-563,-1082,405,666,5513.992482,
"Johnson City, TN",36.3134397,-82.3534727,198716,202053,221,558,941,411,-132,741,1465,1041,853.8327598,
"Elkhart-Goshen, IN",41.6819935,-85.9766671,197559,205032,-552,-605,-611,-66,-81,300,-798,-636,463.1703467,
"Hilton Head Island-Bluffton-Beaufort, SC",32.216316,-80.752608,187010,215302,588,562,3143,3437,3708,4716,3539,3239,#N/A,
"Athens-Clarke County, GA",33.95,-83.383333,192541,209271,581,81,649,673,76,3345,1762,3024,1024.812546,
"Saginaw, MI",43.4194699,-83.9508068,200169,191934,-365,-1267,-952,-1890,-1908,-2049,-930,-422,#N/A,
"Daphne-Fairhope-Foley, AL",30.6035255,-87.9036047,182265,212628,813,3010,3238,4351,4013,3598,4374,4866,1589.78405,2368142.7
"Racine, WI",42.7261309,-87.7828523,195408,196071,-160,-1348,-1014,-485,-553,-678,-377,372,332.5008961,2312894.7
"St. Cloud, MN",45.5579451,-94.1632404,189093,197759,-199,-442,-632,-177,134,758,-69,460,1751.433588,
"Bloomington, IL",40.4842027,-88.9936873,186133,188232,55,-114,640,1067,-2144,-1961,-969,-1506,#N/A,
"Panama City, FL",30.1588129,-85.6602058,184715,199723,194,-204,1568,2514,3288,2504,1536,276,#N/A,
"Gainesville, GA",34.2978794,-83.8240663,179684,199335,-43,1002,670,1227,1635,1874,2551,1929,392.7818067,
"Warner Robins, GA",32.608611,-83.638056,179605,191779,528,1868,765,-107,140,-453,1248,918,375.5406438,
"Jacksonville, NC",34.7540524,-77.4302414,177772,193893,7170,-5591,2432,-2029,-3868,-1996,-3795,-1114,762.7436544,3649720
"Kingston, NY",41.9270367,-73.9973608,182493,179417,-77,-57,-856,-708,-121,-623,-233,56,1124.235139,
"Blacksburg-Christiansburg-Radford, VA",37.2295733,-80.4139393,178237,182993,133,279,408,1135,386,18,1026,226,1072.524273,
"Redding, CA",40.5865396,-122.3916754,177223,179921,17,284,302,521,543,-384,403,1259,3775.402421,
